zone,product,Post-Harvest,Post-Planting,difference_post_harvest_minus_post_planting,ratio_post_harvest_to_post_planting
2. North East,Tomatoes,0.06664192042186091,0.04586993215211325,0.020771988269747667,1.4528454108208375
2. North East,Watermelon,0.06601022735361006,0.06737508801073296,-0.0013648606571228933,0.979742354371315
2. North East,Wheat flour,0.009290275456995692,0.002579978892235082,0.00671029656476061,3.6009114202276904
2. North East,White beans,0.14323939205707026,0.15759042593061212,-0.014351033873541863,0.9089346082492302
2. North East,Wild game/Bush meat,0.0012478788816643602,5.604570896794862e-4,6.874217919848741e-4,2.226537775403995
2. North East,Yam flour,3.729959532311992e-4,4.782967974558091e-5,3.251662734856183e-4,7.798420462258294
2. North East,Yam roots,0.2386885043079377,0.06959882586749244,0.16908967844044526,3.429490387702389
3. North West,Agricultural eggs,0.0036321076858384345,0.004932469698303425,-0.0013003620124649902,0.7363669536759114
3. North West,Animal fat,4.4094058757204193e-4,5.089478630654426e-4,-6.800727549340069e-5,0.8663767343794584
3. North West,Apples,1.1413164211305794e-4,1.455924381375807e-4,-3.1460796024522774e-5,0.783911881503123
3. North West,Avocado pear,0,0,0,NA
3. North West,Baby milk powder,8.783689142894644e-5,3.079852484127267e-4,-2.2014835698378024e-4,0.2851983719403257
3. North West,Bananas,0.02341960867621573,0.021961584480072634,0.001458024196143097,1.0663897542304412
3. North West,Beef,0.031027805075513226,0.02756956077531225,0.003458244300200978,1.1254370473430877
3. North West,Beer,0,2.507683305808636e-4,-2.507683305808636e-4,0
