survey_period,product,zone,estimate_kg_person_week,se,cv,ci_low,ci_high,estimate_kg_person_year_equivalent
Post-Planting,Mutton,2. North East,0.0026974383173857205,8.564498668394442e-4,0.31750489392821063,0.00101879657838041,0.004376080056391031,0.14065214083511257
Post-Planting,Ogbono - ground,2. North East,3.2615835176052796e-6,3.311851815701092e-6,1.0154122369776752,0,9.75281307637942e-6,1.700682834179896e-4
Post-Planting,Ogbono - unground,2. North East,0,0,NA,0,0,0
Post-Planting,Okra - dried,2. North East,0.002857188774757103,6.262924246398241e-4,0.21919882584344355,0.001629655622463048,0.004084721927051158,0.14898198611233468
Post-Planting,Okra - fresh,2. North East,0.05818006114393566,0.007077443736447555,0.12164723785590702,0.04430827142049845,0.07205185086737287,3.033674616790931
Post-Planting,Onions,2. North East,0.11247224514394237,0.00708859763165319,0.06302530568836053,0.09857859378590211,0.12636589650198263,5.864624211076995
Post-Planting,Orange/Tangerine,2. North East,0.03888650750335952,0.00559060320880843,0.14376717189954488,0.027928925214095,0.049844089792624044,2.027653605532318
Post-Planting,Other alcoholic beverages,2. North East,2.6978738465697496e-4,2.738338794963813e-4,1.0149988289650804,0,8.065017884698823e-4,0.014067485057113693
Post-Planting,Other domestic poultry,2. North East,0,0,NA,0,0,0
Post-Planting,Other eggs,2. North East,4.905186878335881e-5,3.5996401503456125e-5,0.733843631165958,0,1.1960481573013282e-4,0.002557704586560852
Post-Planting,Other fish/seafood,2. North East,0,0,NA,0,0,0
Post-Planting,Other fruits,2. North East,0,0,NA,0,0,0
Post-Planting,Other grains/flour,2. North East,6.982929245775884e-4,6.998936898546287e-4,1.0022923979617988,0,0.0020700845566926605,0.03641098821011711
Post-Planting,Other meat,2. North East,0,0,NA,0,0,0
Post-Planting,Other milk products,2. North East,0,0,NA,0,0,0
Post-Planting,Other non-alcoholic drinks,2. North East,1.5642066813310594e-4,1.5865460658100327e-4,1.014281606609661,0,4.6738369703187236e-4,0.00815622055265481
Post-Planting,Other nuts/seeds/pulses,2. North East,4.165480975538553e-4,4.157439509222214e-4,0.9980694987293036,0,0.0012314062413614092,0.021720007943879596
Post-Planting,Other oil/fat,2. North East,0.004949435526906137,0.002398789551259946,0.4846592178481038,2.478080064366433e-4,0.00965106304737563,0.2580777096172486
Post-Planting,Other roots/tubers,2. North East,0,0,NA,0,0,0
Post-Planting,Other spices,2. North East,0.01535155018749568,0.0016899026129695476,0.11008025849702308,0.012039341066075368,0.018663759308915992,0.8004736883479892
Post-Planting,Other sweets,2. North East,0,0,NA,0,0,0
Post-Planting,Other vegetables,2. North East,0.006056139385831153,0.0023395832118472365,0.38631594532333385,0.00147055629061057,0.010641722481051736,0.3157844108326244
Post-Planting,Palm oil,2. North East,0.06584827356506054,0.006038000386906415,0.09169565214098813,0.05401379280672396,0.07768275432339711,3.433517121606728
Post-Planting,Palm wine,2. North East,0.002720129038496426,0.002539038011229073,0.9334255747780802,0,0.007696643540505409,0.1418352998644565
Post-Planting,Pawpaw,2. North East,0,0,NA,0,0,0
Post-Planting,Pineapples,2. North East,0.0034454477001444636,0.002495105189734838,0.7241744489780592,0,0.008335853872024747,0.17965548722181848
Post-Planting,Pito,2. North East,0.003672896408357769,0.002916734367021677,0.7941237766424813,0,0.009389695767720257,0.19151531272151226
Post-Planting,Plantains,2. North East,9.56065560410279e-4,5.908186118093613e-4,0.617968721261983,0,0.002114070039556627,0.04985198993567884
